Tweet Text,DateTime (GMT/UTC),Date (GMT/UTC),Time (GMT/UTC),Day of Week (GMT/UTC),Account DateTime,Account Date,Account Time,Account Day of Week,Geo Location,Retweet Count,Favorite Count,Platform,Status URL
"@supermom_nj, you do have to work w/ your local school! Just visit our page to register. Check it out, here - http://t.co/gNpobMXCQO",03/09/2015 11:52:39,03/09/2015,11:52:39,Thursday,03/09/2015 11:52:39,03/09/2015,11:52:39,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639405641883324417
"@renepoos, this doesn't look like Light Blue! We want to learn more, so we can help. DM us w/ the style #, found on the packaging.",03/09/2015 11:46:42,03/09/2015,11:46:42,Thursday,03/09/2015 11:46:42,03/09/2015,11:46:42,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639404146337140738
"@Jessica_Luffman, missing a crayon is just no fun! DM us w/ the product style # and your full mailing address.",02/09/2015 17:33:50,02/09/2015,17:33:50,Wednesday,02/09/2015 17:33:50,02/09/2015,17:33:50,Wednesday,,0,2,Wilke Global SMART,http://www.twitter.com/Crayola/status/639129117187776512
"@TiffanyWLepack, sorry about that! Give it a try now. :)",02/09/2015 16:57:13,02/09/2015,16:57:13,Wednesday,02/09/2015 16:57:13,02/09/2015,16:57:13,Wednesday,,0,1,Twitter Web Client,http://www.twitter.com/Crayola/status/639119899734974464
"@kira_m_author, at this time, the Crayola ColorCycle program is in the US &amp;  is testing in select areas in Canada. We hope this helps!",02/09/2015 16:54:17,02/09/2015,16:54:17,Wednesday,02/09/2015 16:54:17,02/09/2015,16:54:17,Wednesday,,1,2,Wilke Global SMART,http://www.twitter.com/Crayola/status/639119164431593472
"@TiffanyWLepack, not to worry! DM us w/ your full mailing address, so we can help. :)",02/09/2015 16:31:13,02/09/2015,16:31:13,Wednesday,02/09/2015 16:31:13,02/09/2015,16:31:13,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639113359439306753
"@TiffanyWLepack, we're sorry about that! We want to learn more, so we can help. DM us w/ the style #, found on the packaging!",02/09/2015 16:03:30,02/09/2015,16:03:30,Wednesday,02/09/2015 16:03:30,02/09/2015,16:03:30,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639106382931881984
"@Ronan_T_Russell, thanks for the introduction! Gorge tops our list for of the most colorful lizards we've ever seen.",02/09/2015 15:34:58,02/09/2015,15:34:58,Wednesday,02/09/2015 15:34:58,02/09/2015,15:34:58,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639099202505715712
"@StaceyLynch82, great question! You can find all the info you need, here - http://t.co/WyFsDcfnyk",02/09/2015 11:22:41,02/09/2015,11:22:41,Wednesday,02/09/2015 11:22:41,02/09/2015,11:22:41,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/639035714525626368
Create a city of geometric shapes. #ChampionCreativity  https://t.co/nRvULhbPA6,01/09/2015 20:30:05,01/09/2015,20:30:05,Tuesday,01/09/2015 20:30:05,01/09/2015,20:30:05,Tuesday,,1,5,Twitter Ads,http://www.twitter.com/Crayola/status/638811083923288064
Add color to your windows with our NEW Cling Creator! Get inspired by @britandco - http://t.co/g0FJobAlXN http://t.co/AOjrXXNkIO,01/09/2015 16:30:08,01/09/2015,16:30:08,Tuesday,01/09/2015 16:30:08,01/09/2015,16:30:08,Tuesday,,4,4,Twitter Ads,http://www.twitter.com/Crayola/status/638750696213352450
"@LSGFund, thank you for your interest! Learn more about our marker recycling program, here-  http://t.co/7V7EZrhOgX",01/09/2015 16:00:45,01/09/2015,16:00:45,Tuesday,01/09/2015 16:00:45,01/09/2015,16:00:45,Tuesday,,1,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/638743303421304832
"@SylessNecole, washable crayons work well to create meltdown crayon art! Learn more and find tips, here- http://t.co/h63j4da4QK",01/09/2015 12:44:07,01/09/2015,12:44:07,Tuesday,01/09/2015 12:44:07,01/09/2015,12:44:07,Tuesday,,1,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/638693818674606080
"@TexanHispasian, it sure is! Learn more about our marker recycling program, here: http://t.co/7V7EZrhOgX",31/08/2015 17:49:50,31/08/2015,17:49:50,Monday,31/08/2015 17:49:50,31/08/2015,17:49:50,Monday,,1,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/638408367371890688
"@RowennaM, yes we do! Midnight Blue is included in our 96 ct. and larger crayon boxes. :)",31/08/2015 17:31:22,31/08/2015,17:31:22,Monday,31/08/2015 17:31:22,31/08/2015,17:31:22,Monday,,0,2,Wilke Global SMART,http://www.twitter.com/Crayola/status/638403720993243136
"@missstephanieb, it's a beautiful day to experience the magic of color! We hope you have a blast exploring @VisitCrayola!",31/08/2015 16:52:26,31/08/2015,16:52:26,Monday,31/08/2015 16:52:26,31/08/2015,16:52:26,Monday,,1,1,Twitter Web Client,http://www.twitter.com/Crayola/status/638393924181192704
Enter today to win a Crayola prize pack!  https://t.co/0ELWTMjy20,31/08/2015 16:13:52,31/08/2015,16:13:52,Monday,31/08/2015 16:13:52,31/08/2015,16:13:52,Monday,,8,8,Twitter Web Client,http://www.twitter.com/Crayola/status/638384216049348608
"@tompepper, thanks for the information! DM us w/ the style #, so we can help!",31/08/2015 12:34:55,31/08/2015,12:34:55,Monday,31/08/2015 12:34:55,31/08/2015,12:34:55,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/638329114764681216
"@GymratJo3, we love your attention to detail! Thanks for sharing your enormous talent. :)",31/08/2015 12:01:47,31/08/2015,12:01:47,Monday,31/08/2015 12:01:47,31/08/2015,12:01:47,Monday,,0,0,Twitter Web Client,http://www.twitter.com/Crayola/status/638320778933612544
"@Relwots, don't worry about fixing them, we'll make this right! DM us w/ the style #, on the packaging, &amp; your full mailing address!",31/08/2015 11:55:45,31/08/2015,11:55:45,Monday,31/08/2015 11:55:45,31/08/2015,11:55:45,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/638319259953856512
"@WeirdEmmaline, not to worry, we can help! DM us w/ the style #, found on the packaging. Also, try using a hand-held sharpener. :)",31/08/2015 11:54:32,31/08/2015,11:54:32,Monday,31/08/2015 11:54:32,31/08/2015,11:54:32,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/638318954302283776
"@tompepper, we want to learn more, so we can help! Feel free to DM us w/ the style #, found on the packaging!",31/08/2015 11:53:08,31/08/2015,11:53:08,Monday,31/08/2015 11:53:08,31/08/2015,11:53:08,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/638318601431347200
"@wiindsey, we're sorry to hear that! We want to make this right for you. DM us w/ the style #, found on the packaging. :)",31/08/2015 11:52:05,31/08/2015,11:52:05,Monday,31/08/2015 11:52:05,31/08/2015,11:52:05,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/638318337794154496
Ask your child to draw a picture of a memory from school &amp; create a story. #ChampionCreativity http://t.co/Y3GVNa5IJe,31/08/2015 10:00:07,31/08/2015,10:00:07,Monday,31/08/2015 10:00:07,31/08/2015,10:00:07,Monday,,9,8,Twitter Ads,http://www.twitter.com/Crayola/status/638290158979190784
Creativity starts with curiosity #ChampionCreativity http://t.co/IjMeVNctVf http://t.co/yInJjsnu28,29/08/2015 11:00:06,29/08/2015,11:00:06,Saturday,29/08/2015 11:00:06,29/08/2015,11:00:06,Saturday,,5,3,Twitter Ads,http://www.twitter.com/Crayola/status/637580477650440192
"@SkullBladeBlack ,please note that we don't condone our colored pencils being used this way. They haven't been tested for this use.",28/08/2015 11:41:42,28/08/2015,11:41:42,Friday,28/08/2015 11:41:42,28/08/2015,11:41:42,Friday,,0,0,Twitter Web Client,http://www.twitter.com/Crayola/status/637228558952361984
"@ktnhcrs, feel free to check out the following FAQ, for all of your bulk ordering needs, http://t.co/uUdvdXRMi5 :)",28/08/2015 11:38:48,28/08/2015,11:38:48,Friday,28/08/2015 11:38:48,28/08/2015,11:38:48,Friday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/637227831613870081
"@masalamommas, happy to see we could add a little color to your road trip! Safe travels. :)",27/08/2015 16:00:18,27/08/2015,16:00:18,Thursday,27/08/2015 16:00:18,27/08/2015,16:00:18,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636931249953742848
http://t.co/HDLjVySnjS,27/08/2015 15:30:05,27/08/2015,15:30:05,Thursday,27/08/2015 15:30:05,27/08/2015,15:30:05,Thursday,,9,10,Twitter Ads,http://www.twitter.com/Crayola/status/636923646942932992
"@naggymaggy, sorry about that! Give it a try now. :)",27/08/2015 15:08:56,27/08/2015,15:08:56,Thursday,27/08/2015 15:08:56,27/08/2015,15:08:56,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636918326011281408
"@diane_hann, thanks for your honest feedback! We'll be sure to pass it along w/ similar suggestions. Best wishes for a colorful day!",27/08/2015 11:47:14,27/08/2015,11:47:14,Thursday,27/08/2015 11:47:14,27/08/2015,11:47:14,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636867564912644096
"@ChristineEverth, w/ 152 colors, the possibilities are endless! We wonder where your creativity will take you. :)",27/08/2015 11:37:46,27/08/2015,11:37:46,Thursday,27/08/2015 11:37:46,27/08/2015,11:37:46,Thursday,,1,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/636865181751091200
"@naggymaggy, we want to fix this pencil problem! DM us w/ the style #, found on the packaging, &amp; your full mailing address.",27/08/2015 11:29:40,27/08/2015,11:29:40,Thursday,27/08/2015 11:29:40,27/08/2015,11:29:40,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636863145261309952
"@harriscreekelem, all dried up? Not to worry, we're going to fix this! DM us w/ the style #, found on the packaging. :)",27/08/2015 11:28:34,27/08/2015,11:28:34,Thursday,27/08/2015 11:28:34,27/08/2015,11:28:34,Thursday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/636862865853534208
"@CharKiNte, feel free to take a look at our corporate contributions page: http://t.co/JoeHTDnGI1",26/08/2015 13:40:21,26/08/2015,13:40:21,Wednesday,26/08/2015 13:40:21,26/08/2015,13:40:21,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636533641938644992
"@RhiGraham416, that's no fun! We want to help correct this for you. DM us w/ the product style # and your full mailing address.",26/08/2015 13:36:32,26/08/2015,13:36:32,Wednesday,26/08/2015 13:36:32,26/08/2015,13:36:32,Wednesday,,1,2,Wilke Global SMART,http://www.twitter.com/Crayola/status/636532684853002240
"@diane_hann, great question. Because our 64 ct. pack includes our shorter pencils, it would be difficult to include color names.",26/08/2015 13:33:12,26/08/2015,13:33:12,Wednesday,26/08/2015 13:33:12,26/08/2015,13:33:12,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636531846008934400
"@MellyMaybeBaby, happy we could help make things right for you. :)",26/08/2015 12:57:28,26/08/2015,12:57:28,Wednesday,26/08/2015 12:57:28,26/08/2015,12:57:28,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636522850673889280
Spark creative thinking at home! #ChampionCreativity https://t.co/C7EgoDmi0g,25/08/2015 20:30:07,25/08/2015,20:30:07,Tuesday,25/08/2015 20:30:07,25/08/2015,20:30:07,Tuesday,,3,5,Twitter Ads,http://www.twitter.com/Crayola/status/636274376929705984
"@GlitziMommy, thanks for sharing this colorful paint session! We love to see little artists exploring their creativity!",25/08/2015 19:19:20,25/08/2015,19:19:20,Tuesday,25/08/2015 19:19:20,25/08/2015,19:19:20,Tuesday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/636256564270235649
"@yourstaticradio, we sure do! Check out our Ultimate Crayon Collection, here - http://t.co/DVURLTRDbG",25/08/2015 11:41:06,25/08/2015,11:41:06,Tuesday,25/08/2015 11:41:06,25/08/2015,11:41:06,Tuesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636141247401459712
"@IanWLee, missing a color is no fun! We want to make this right for you! DM us w/ your full mailing address.",25/08/2015 11:38:18,25/08/2015,11:38:18,Tuesday,25/08/2015 11:38:18,25/08/2015,11:38:18,Tuesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636140540514430976
"@barVolo, thanks for sharing this feedback! We'll be sure to pass it along to our team. :)",25/08/2015 11:30:23,25/08/2015,11:30:23,Tuesday,25/08/2015 11:30:23,25/08/2015,11:30:23,Tuesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/636138548366864384
"@LCMA_5SOS_YAAAS, we have just the thing for you! Check out our Twistables collection, here - http://t.co/vU2DOYmx9B",25/08/2015 11:29:12,25/08/2015,11:29:12,Tuesday,25/08/2015 11:29:12,25/08/2015,11:29:12,Tuesday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/636138251871350785
"We couldn't agree more, @ourthreepeas!  https://t.co/4tKrDWxQuB",24/08/2015 19:12:38,24/08/2015,19:12:38,Monday,24/08/2015 19:12:38,24/08/2015,19:12:38,Monday,,5,14,Twitter Web Client,http://www.twitter.com/Crayola/status/635892487844929537
"@MellyMaybeBaby, missing Model Magic is no fun! DM us w/ the product style # and your full mailing address so that we can help. :)",24/08/2015 17:47:54,24/08/2015,17:47:54,Monday,24/08/2015 17:47:54,24/08/2015,17:47:54,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/635871166268350469
"@Ian_Barnard, glad our Pip-Squeaks could add a colorful alternative to your word art. :) Thanks for sharing- we love to see art in action!",24/08/2015 15:42:33,24/08/2015,15:42:33,Monday,24/08/2015 15:42:33,24/08/2015,15:42:33,Monday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/635839622241775616
"@purtyjae, we're sorry to hear this! DM us w/ the product style # and your full mailing address, so that we can help!",24/08/2015 13:42:21,24/08/2015,13:42:21,Monday,24/08/2015 13:42:21,24/08/2015,13:42:21,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/635809371142901760
"@aliciaaaaaa15, we're sorry to see and would like to help! DM us w/ the product style # and your full mailing address.",24/08/2015 13:38:41,24/08/2015,13:38:41,Monday,24/08/2015 13:38:41,24/08/2015,13:38:41,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/635808446365966336
"@loisquagmire, amazing work! They certainly know how to color their world. We wonder what they'll create next!",24/08/2015 13:22:19,24/08/2015,13:22:19,Monday,24/08/2015 13:22:19,24/08/2015,13:22:19,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/635804328847147008
"@SeanGoesAllDay, we're sorry to hear &amp; would like to help! Feel free to check out our stain tip, here: http://t.co/XqKMjc9EUz",24/08/2015 12:30:05,24/08/2015,12:30:05,Monday,24/08/2015 12:30:05,24/08/2015,12:30:05,Monday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/635791184640745472
"@JenStansfield, we're sorry for your disappointment &amp; would like to help! DM us w/ the product style # and your full address.",24/08/2015 12:17:23,24/08/2015,12:17:23,Monday,24/08/2015 12:17:23,24/08/2015,12:17:23,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/635787990598610944
"@themiltz, that's no fun! We'd like to learn more so that we can help. DM us w/ the product style # and your full mailing address.",24/08/2015 12:12:24,24/08/2015,12:12:24,Monday,24/08/2015 12:12:24,24/08/2015,12:12:24,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/635786733301444608
"@rtomlinson_, glad our products could help fill your table bins! Best wishes for a colorful school year. :)",21/08/2015 19:11:29,21/08/2015,19:11:29,Friday,21/08/2015 19:11:29,21/08/2015,19:11:29,Friday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/634805037496188928
"@LouisianaSass, we're sorry for the mix up! DM us w/ the product style # and your full mailing address. :)",21/08/2015 18:17:52,21/08/2015,18:17:52,Friday,21/08/2015 18:17:52,21/08/2015,18:17:52,Friday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/634791542721527808
"@emilysquires18, we do not recommend using our colored pencils to make eyeliner. They are not designed, tested or approved for this purpose.",21/08/2015 18:03:43,21/08/2015,18:03:43,Friday,21/08/2015 18:03:43,21/08/2015,18:03:43,Friday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/634787982961192961
See how @BritandCo reinvented the ‘90s slap bracelet with our NEW #ThreadWrapper. http://t.co/h9mdb1Hrff #remake2015 http://t.co/aBtHWByOXH,21/08/2015 13:32:27,21/08/2015,13:32:27,Friday,21/08/2015 13:32:27,21/08/2015,13:32:27,Friday,,6,6,Twitter Ads,http://www.twitter.com/Crayola/status/634719717798756353
"@diane_hann, you might be interested in our 100 ct. pack! Keep in mind, it contains 60 different colors w/ 40 duplicate colors. :)",21/08/2015 11:24:08,21/08/2015,11:24:08,Friday,21/08/2015 11:24:08,21/08/2015,11:24:08,Friday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/634687423692316672
"@jamileeann20, broken crayons aren't fun at all! We want to help. DM us w/ the style #, on the packaging. :)",21/08/2015 11:21:11,21/08/2015,11:21:11,Friday,21/08/2015 11:21:11,21/08/2015,11:21:11,Friday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/634686681652830208
"Families write and illustrate original books together, creating fun pass along stories. #ChampionCreativity  https://t.co/ObuBdsu1jn",21/08/2015 10:30:04,21/08/2015,10:30:04,Friday,21/08/2015 10:30:04,21/08/2015,10:30:04,Friday,,3,6,Twitter Ads,http://www.twitter.com/Crayola/status/634673815813881857
"@DVaive, looks like there has been a mix-up! DM us w/ the style #, on the packaging, so we can help!",20/08/2015 18:51:56,20/08/2015,18:51:56,Thursday,20/08/2015 18:51:56,20/08/2015,18:51:56,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/634437728319479808
#Craft: Send your kids back to school in style with this colorful collage notebook! http://t.co/SMZG4TIQ5P http://t.co/p0FlwuxUgB,20/08/2015 16:00:05,20/08/2015,16:00:05,Thursday,20/08/2015 16:00:05,20/08/2015,16:00:05,Thursday,,2,11,Twitter Ads,http://www.twitter.com/Crayola/status/634394483447083011
Send your kids #backtoschool w/ Mini @Babybel cheese and enjoy this fun after-school activity! https://t.co/uNuYxC5dvF,20/08/2015 14:10:05,20/08/2015,14:10:05,Thursday,20/08/2015 14:10:05,20/08/2015,14:10:05,Thursday,,16,41,Twitter Ads,http://www.twitter.com/Crayola/status/634366796951228417
"@kacimama, we'd like to help make Emmie smile! DM us w/ the product style # and your full mailing address.",20/08/2015 14:09:58,20/08/2015,14:09:58,Thursday,20/08/2015 14:09:58,20/08/2015,14:09:58,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/634366768790827008
"@schoolgirlshay, those Minions are always up to something! Hope you have fun rocking out with these colors. :)",20/08/2015 13:56:22,20/08/2015,13:56:22,Thursday,20/08/2015 13:56:22,20/08/2015,13:56:22,Thursday,,1,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/634363345768988672
"@Shellybean1727, we're sorry for your disappointment and would like to help! DM us w/ the product style # and your full mailing address.",20/08/2015 13:44:32,20/08/2015,13:44:32,Thursday,20/08/2015 13:44:32,20/08/2015,13:44:32,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/634360369386008578
"@Monicaa_Vallejo, we're sorry to hear! DM us w/ the product style # and your full mailing address. Can't wait to hear from you!",20/08/2015 12:35:29,20/08/2015,12:35:29,Thursday,20/08/2015 12:35:29,20/08/2015,12:35:29,Thursday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/634342992208375808
Art-integration increases child engagement #ChampionCreativity https://t.co/aZM8SK9mPJ,19/08/2015 20:00:02,19/08/2015,20:00:02,Wednesday,19/08/2015 20:00:02,19/08/2015,20:00:02,Wednesday,,8,7,Twitter Ads,http://www.twitter.com/Crayola/status/634092478866452480
"@cmn819, feel free to give it a try now. :)",19/08/2015 17:20:07,19/08/2015,17:20:07,Wednesday,19/08/2015 17:20:07,19/08/2015,17:20:07,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/634052234876207104
"@vacationmaybe, you'll have a blast! @VisitCrayola is a great place to spend the last colorful days of Summer!",19/08/2015 15:03:48,19/08/2015,15:03:48,Wednesday,19/08/2015 15:03:48,19/08/2015,15:03:48,Wednesday,,0,0,Twitter Web Client,http://www.twitter.com/Crayola/status/634017929596682240
Enter @Shoparoo's sweepstakes for a chance to win a backpack of Crayola school supplies!  https://t.co/OlVNacw5K8,19/08/2015 13:19:08,19/08/2015,13:19:08,Wednesday,19/08/2015 13:19:08,19/08/2015,13:19:08,Wednesday,,13,4,Twitter Web Client,http://www.twitter.com/Crayola/status/633991590030217216
"@japaspanglish, you might be interested in our Multicultural Broad Line Markers. Check them out, here - http://t.co/RcR0VKWQSs",19/08/2015 12:35:08,19/08/2015,12:35:08,Wednesday,19/08/2015 12:35:08,19/08/2015,12:35:08,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/633980517717774336
"@cmn819, sounds like your pack is a little topsy turvy. We want to turn things around! DM us w/ the style #, found on the packaging.",19/08/2015 11:40:07,19/08/2015,11:40:07,Wednesday,19/08/2015 11:40:07,19/08/2015,11:40:07,Wednesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/633966670189580288
"@kermit_29, missing eraser? That doesn't leave a lot of room for mistakes! DM us w/ your full mailing address. :)",19/08/2015 11:37:40,19/08/2015,11:37:40,Wednesday,19/08/2015 11:37:40,19/08/2015,11:37:40,Wednesday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/633966056210460672
"Today, Crayolians were colorfully inspired and participated in #ChalkTheWalks! ""Creativity Takes Courage"" http://t.co/mSZcjPyvKB",18/08/2015 23:41:14,18/08/2015,23:41:14,Tuesday,18/08/2015 23:41:14,18/08/2015,23:41:14,Tuesday,,10,17,Mobile Web (M5),http://www.twitter.com/Crayola/status/633785758097240064
"@Irene_Black3, we want you to color too! DM us w/ the style #, on the packaging, and your full mailing address. :)",18/08/2015 18:21:56,18/08/2015,18:21:56,Tuesday,18/08/2015 18:21:56,18/08/2015,18:21:56,Tuesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/633705401469542402
"@Rhandi223, our crayon costumes are manufactured Rasta Imposta. Contact them directly at 1-800-217-2782. We hope this helps!",18/08/2015 12:31:55,18/08/2015,12:31:55,Tuesday,18/08/2015 12:31:55,18/08/2015,12:31:55,Tuesday,,0,2,Wilke Global SMART,http://www.twitter.com/Crayola/status/633617318262767616
"@LValek, that's no fun! DM us w/ the product style # and your full mailing address. Can't wait to hear from you!",18/08/2015 12:28:54,18/08/2015,12:28:54,Tuesday,18/08/2015 12:28:54,18/08/2015,12:28:54,Tuesday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/633616560909885440
"@Emerging_Mum, we're sorry to hear and we'd like to help point you in the right direction. DM us w/ your full mailing address.",17/08/2015 17:53:46,17/08/2015,17:53:46,Monday,17/08/2015 17:53:46,17/08/2015,17:53:46,Monday,,0,1,Wilke Global SMART,http://www.twitter.com/Crayola/status/633335926878511105
"@Emerging_Mum, the exact ingredients of our products are proprietary. Is there a particular ingredient you are looking for?",17/08/2015 17:31:20,17/08/2015,17:31:20,Monday,17/08/2015 17:31:20,17/08/2015,17:31:20,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/633330279533428737
"@SallyABryant, that doesn't seem right! DM us w/ the product style # and your full mailing address. :)",17/08/2015 16:00:49,17/08/2015,16:00:49,Monday,17/08/2015 16:00:49,17/08/2015,16:00:49,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/633307501639942144
Tag a friend and add some color to their life today! http://t.co/i1CpFBoIdT,17/08/2015 15:30:05,17/08/2015,15:30:05,Monday,17/08/2015 15:30:05,17/08/2015,15:30:05,Monday,,8,7,Twitter Ads,http://www.twitter.com/Crayola/status/633299767645224960
"@kirstimcnabney, great question! Our 100 ct. colored pencil pack includes 60 different colors and 40 duplicates. Hope this helps!",17/08/2015 14:46:42,17/08/2015,14:46:42,Monday,17/08/2015 14:46:42,17/08/2015,14:46:42,Monday,,0,2,Wilke Global SMART,http://www.twitter.com/Crayola/status/633288851092582400
"@thedevonw, we're sorry to see this! DM us with your full mailing address so that we can help. :)",17/08/2015 14:37:25,17/08/2015,14:37:25,Monday,17/08/2015 14:37:25,17/08/2015,14:37:25,Monday,,0,0,Wilke Global SMART,http://www.twitter.com/Crayola/status/633286516014497792
